nom_leg,nombres
Aarón Urbina Bedolla,aarón urbina bedolla
Abel Murrieta Gutiérrez,abel murrieta gutiérrez
Abel Neftalí Domínguez Azuz,abel neftalí domínguez azuz
Abel Valle Castillo,abel valle castillo
Abelina López Rodríguez,abelina lópez rodríguez
Abraham Montijo Cervantes,abraham montijo cervantes
Abril Yannette Trujillo Vázquez,abril yannette trujillo vázquez
Acosta León Rafael,acosta león rafael
Adacelia Gonzalez Duran,adacelia gonzalez duran
Adda Luz Ferrer González,adda luz ferrer gonzález
Adolfo Alberto Zamarripa Sandoval,adolfo alberto zamarripa sandoval
Adolfo García Morales,adolfo garcía morales
Adolfo Rojo Montoya,adolfo rojo montoya
Adolfo Sebastian Magaña Vadillo,adolfo sebastian magaña vadillo
Adolfo Suárez Ramírez,adolfo suárez ramírez
Adolfo Toledo Infanzon,adolfo toledo infanzon
Adrián Camacho Trejo Luna,adrián camacho trejo luna
Adrián Hernández Balboa,adrián hernández balboa
Adrian Michel Espino,adrian michel espino
Adrian Rubalcava Suárez,adrian rubalcava suárez
Adrián Víctor Hugo Islas Hernández,adrián víctor hugo islas hernández
Adrián Xochitemo Pedraza,adrián xochitemo pedraza
Adriana Atristain Orozco,adriana atristain orozco
Adriana de Jesús Avilez Avilez,adriana de jesús avilez avilez
ADRIANA DE JESÚS VILLA HUIZAR,adriana de jesús villa huizar
Adriana de Lourdes Hinojosa Céspedes ,adriana de lourdes hinojosa céspedes 
Adriana Fuentes Téllez,adriana fuentes téllez
Adriana Gabriela Medina Ortiz,adriana gabriela medina ortiz
Adriana Lucia Mesina Tena,adriana lucia mesina tena
Águeda Torres Varela,águeda torres varela
Aguilera Landeta Marcela,aguilera landeta marcela
Agustin Bernardo Bonilla Saucedo,agustin bernardo bonilla saucedo
Agustín Nava Huerta,agustín nava huerta
Agustín Torres Pérez,agustín torres pérez
Ahued Bardahull Ricardo,ahued bardahull ricardo
Aitzury Fernanda Sandoval Vega,aitzury fernanda sandoval vega
Alberli Ramos Hidalgo,alberli ramos hidalgo
Alberto Amaro Corona,alberto amaro corona
Alberto Díaz Trujillo,alberto díaz trujillo
Alberto Emiliano Cinta Martínez,alberto emiliano cinta martínez
Alberto Hernández Meneses,alberto hernández meneses
Alberto Martínez Urincho,alberto martínez urincho
Albino Mendieta Lira,albino mendieta lira
Aleida Alavez Ruiz,aleida alavez ruiz
Alejandra Cruz Toledo Zebadúa,alejandra cruz toledo zebadúa
ALEJANDRA SORIANO RUIZ,alejandra soriano ruiz
Alejandrina Moreno Barona,alejandrina moreno barona
Alejandro Agundis Arias,alejandro agundis arias
Alejandro Aparicio Santiago,alejandro aparicio santiago
Alejandro Arcos Catalán,alejandro arcos catalán
Alejandro Aviles Álvarez,alejandro aviles álvarez
Alejandro Carabias Icaza,alejandro carabias icaza
Alejandro Castro Hernández,alejandro castro hernández
Alejandro Flores Razo,alejandro flores razo
Alejandro Gloria González,alejandro gloria gonzález
Alejandro Martínez Ramírez,alejandro martínez ramírez
Alejandro Mendoza Villalobos,alejandro mendoza villalobos
Alejandro Oaxaca Carreón,alejandro oaxaca carreón
Alejandro Olvera Entzana,alejandro olvera entzana
Alejandro Rafael Piña Medina,alejandro rafael piña medina
Alejandro Trejo Avila,alejandro trejo avila
Alfonso Guadalupe Ruiz Chico,alfonso guadalupe ruiz chico
Alfonso Guillermo Bravo Álvarez Malo,alfonso guillermo bravo álvarez malo
Alfredo Bejos Nicolás sustituido por Mario Alberto Cuatepotzo Durán,alfredo bejos nicolás sustituido por mario alberto cuatepotzo durán
Alfredo de la Rosa Martínez,alfredo de la rosa martínez
Alfredo Femat Bañuelos,alfredo femat bañuelos
ALFREDO SANTIZ JIMENEZ,alfredo santiz jimenez
Alfredo Torres Zambrano,alfredo torres zambrano
Alicia Elizabeth Zamora Villalva,alicia elizabeth zamora villalva
Alicia García Valenzuela,alicia garcía valenzuela
Alicia Guadalupe Gamboa Martínez,alicia guadalupe gamboa martínez
ALMA MARINA VITELA RODRÍGUEZ,alma marina vitela rodríguez
ALMA ROSA SIMAN ESTEFAN,alma rosa siman estefan
Alonso Adrián Juárez Jiménez,alonso adrián juárez jiménez
Alonso Qué Erubiel Lorenzo,alonso qué erubiel lorenzo
Altagracia Hernández Reyes ,altagracia hernández reyes 
Amado Jesús Cruz Malpica,amado jesús cruz malpica
Amador Campos Aburto,amador campos aburto
Amador Monroy Estrada,amador monroy estrada
Amalia Georgina Flores Cázares,amalia georgina flores cázares
América Victoria Aguilar Gil,américa victoria aguilar gil
Ana Bertha Díaz Gutiérrez,ana bertha díaz gutiérrez
Ana Cecilia Moreno Romero,ana cecilia moreno romero
ANA DEL CARMEN VALDIVIEZO HIDALGO,ana del carmen valdiviezo hidalgo
Ana Graciela Crisanty Villarino,ana graciela crisanty villarino
Ana Juana Angeles Valencia,ana juana angeles valencia
Ana Julia Hernández Pérez,ana julia hernández pérez
Ana Leticia Cuatepotzo Pérez,ana leticia cuatepotzo pérez
Ana Lilia Gómez Licón,ana lilia gómez licón
Ana Lilia Jiménez Rumbo,ana lilia jiménez rumbo
Ana Luisa Castellanos Hernández,ana luisa castellanos hernández
Ana María Balderas Trejo,ana maría balderas trejo
Ana María García  Sánchez,ana maría garcía  sánchez
Ana María Jiménez Ortiz,ana maría jiménez ortiz
Ana María López Hernández,ana maría lópez hernández
Ana María Luisa Valdés Avilés,ana maría luisa valdés avilés
Ana María Rodríguez Ruiz,ana maría rodríguez ruiz
Ana Paola Ávila Ávila,ana paola ávila ávila
Ana Yurixi Leyva Piñón ,ana yurixi leyva piñón 
Anavel Fernández Martínez,anavel fernández martínez
Anayeli Muñoz Moreno,anayeli muñoz moreno
Andrea del Carmen Martínez Aguilar,andrea del carmen martínez aguilar
Andrés Atayde Rubiolo,andrés atayde rubiolo
Andrés Sánchez Miranda,andrés sánchez miranda
Ángel Aguirre Herrera,ángel aguirre herrera
Ángel Armando López Contreras,ángel armando lópez contreras
Ángel Geovani Escobar Manjarrez,ángel geovani escobar manjarrez
Ángel Xochitiotzin Hernández,ángel xochitiotzin hernández
Angela del Carmen Cámara Damas,angela del carmen cámara damas
Angélica Casillas Martínez,angélica casillas martínez
Angélica María Payán García,angélica maría payán garcía
Ángelo Gutiérrez Hernández,ángelo gutiérrez hernández
Annel Flores Gutiérrez ,annel flores gutiérrez 
Antelmo Alvarado García,antelmo alvarado garcía
Antonia Natividad Díaz Jiménez,antonia natividad díaz jiménez
Antonio Andreu Rodríguez,antonio andreu rodríguez
Antonio Chávez Barraza,antonio chávez barraza
Antonio Gaspar Beltrán,antonio gaspar beltrán
Antonio López Orozco,antonio lópez orozco
Antonio Padierna Luna,antonio padierna luna
Antonio Xavier López Adame,antonio xavier lópez adame
Antonio Zapata Guerrero,antonio zapata guerrero
Anuar Roberto Azar Figueroa,anuar roberto azar figueroa
Apolinar Escobedo Idefonso,apolinar escobedo idefonso
Aquiles Cortés López,aquiles cortés lópez
Araceli Casasola Salazar,araceli casasola salazar
Araceli Medina Sanchez,araceli medina sanchez
Araceli Velázquez Ramírez,araceli velázquez ramírez
Arango Glbb Gabriela,arango glbb gabriela
Arcelia María Gonzalez Gonzalez,arcelia maría gonzalez gonzalez
Areli Hernandez Martínez,areli hernandez martínez
Argelia Salas del Hoyo,argelia salas del hoyo
Ariadna Montiel Reyes,ariadna montiel reyes
Arias García Rogers,arias garcía rogers
Ariel Vallejo Tinoco,ariel vallejo tinoco
Armando Corona Rivera,armando corona rivera
Armando Demetrio Bohórquez Reyes,armando demetrio bohórquez reyes
Armando Portuguez Fuentes ,armando portuguez fuentes 
Armando Ramos Flores,armando ramos flores
Armando Soto Espino,armando soto espino
Armando Tonatiuh González Case,armando tonatiuh gonzález case
Arnulfo Arévalo Lara,arnulfo arévalo lara
Arsenio Lorenzo Mejía García,arsenio lorenzo mejía garcía
Arturo Álvarez Angli,arturo álvarez angli
Arturo Bonilla Morales,arturo bonilla morales
Arturo Esquitín Ortíz,arturo esquitín ortíz
Arturo Fernández Estrada,arturo fernández estrada
Arturo García Arias,arturo garcía arias
Arturo Kampener Díaz,arturo kampener díaz
Arturo López de Lara Díaz,arturo lópez de lara díaz
Arturo Piña García,arturo piña garcía
Arturo Santana Alfaro,arturo santana alfaro
Arturo Toledo Méndez,arturo toledo méndez
Atali Sofía Rangel Ortíz,atali sofía rangel ortíz
AUGUSTO FERNANDO ÁVALOS LONGORIA,augusto fernando ávalos longoria
Augusto Valencia López,augusto valencia lópez
Aurora Candelaria Ceh Reyna,aurora candelaria ceh reyna
Aydé Espinoza González,aydé espinoza gonzález
Bahena Corbalá Domingo,bahena corbalá domingo
Balboa Sánchez Rafael Abner,balboa sánchez rafael abner
Baldemar Alejandro Cortés Meneses,baldemar alejandro cortés meneses
Baltazar Valenzuela Guerra,baltazar valenzuela guerra
Basilio Picazo Pérez,basilio picazo pérez
Baxzi Mata Antonlno,baxzi mata antonlno
Beatriz Adriana Olivares Pinal,beatriz adriana olivares pinal
Beatriz Alarcón Adame,beatriz alarcón adame
Beatriz López Jiménez,beatriz lópez jiménez
Beatriz Manrique Guevara,beatriz manrique guevara
Beatriz Medina Rangel,beatriz medina rangel
Beatriz Rojas Martínez,beatriz rojas martínez
Benedicto Cortés Díaz,benedicto cortés díaz
Bernardo Arrubarrena García,bernardo arrubarrena garcía
Bernardo Ortega Jiménez,bernardo ortega jiménez
Bertha Alicia Cardona,bertha alicia cardona
Bertha Padilla Chacon,bertha padilla chacon
Bingen Rementería Molina,bingen rementería molina
Bladimir Zainos Flores,bladimir zainos flores
Blanca Gámez Gutiérrez,blanca gámez gutiérrez
BLANCA RUTH ESPONDA ESPINOSA,blanca ruth esponda espinosa
Blas Jorge Garcilazo Alcántara,blas jorge garcilazo alcántara
Bosch Hernández Patricio,bosch hernández patricio
Brenda Elizabeth Jaime Montoya,brenda elizabeth jaime montoya
Brenda María Izontli Alvarado Sanchez,brenda maría izontli alvarado sanchez
Cabrera Sandoval Francisco Javier ,cabrera sandoval francisco javier 
Cáceres Álvarez Andrés,cáceres álvarez andrés
Callejas Arroyo Juan Nicolás,callejas arroyo juan nicolás
Campos Piedra Tito,campos piedra tito
Candelaria Cauich Ku,candelaria cauich ku
Candelaria Pérez Jiménez,candelaria pérez jiménez
Canek Vázquez Góngora,canek vázquez góngora
Carballo Salazar Heber Alan,carballo salazar heber alan
Carlos Alberto León García,carlos alberto león garcía
Carlos Alberto Pedroza Morales,carlos alberto pedroza morales
Carlos Alberto Ramos Aragón,carlos alberto ramos aragón
Carlos Alberto Sandoval Cardona,carlos alberto sandoval cardona
Carlos Alberto Vera Vidal,carlos alberto vera vidal
Carlos Alfonso Candelaria López,carlos alfonso candelaria lópez
Carlos Antonio Morales Guevara,carlos antonio morales guevara
Carlos Daniel Hernández Olivares,carlos daniel hernández olivares
Carlos Emilio Contreras Galindo,carlos emilio contreras galindo
Carlos Enrique Martínez Aké,carlos enrique martínez aké
Carlos Ernesto Navarro López,carlos ernesto navarro lópez
Carlos Hernández Mirón,carlos hernández mirón
Carlos Ignacio Mier Bañuelos,carlos ignacio mier bañuelos
CARLOS ILDELFONSO JIMENEZ TRUJILLO,carlos ildelfonso jimenez trujillo
Carlos Lázaro Sanchez Tapia,carlos lázaro sanchez tapia
Carlos Manuel Fu Salcido,carlos manuel fu salcido
Carlos Manuel Vega de la Isla,carlos manuel vega de la isla
Carlos Martín Ruiz Ortega,carlos martín ruiz ortega
Carlos Martínez Amador,carlos martínez amador
Carlos Matuk López de Nava,carlos matuk lópez de nava
Carlos Morales Badillo,carlos morales badillo
Carlos Ordorica Cervantes,carlos ordorica cervantes
Carlos Peña Badillo,carlos peña badillo
Carlos Ramiro Sosa,carlos ramiro sosa
Carlos Reyes Torres,carlos reyes torres
Carlos Samuel Moreno Terán,carlos samuel moreno terán
Carlos Sanchez Sanchez,carlos sanchez sanchez
Carmen Antuna Cruz,carmen antuna cruz
Carmen Iliama Castillo Ávila,carmen iliama castillo ávila
Carmen Rocío González Alonso,carmen rocío gonzález alonso
Carolina Beauregard Martínez,carolina beauregard martínez
Carolina Berenice Guevara Maupome,carolina berenice guevara maupome
Carolina Dávila Ramírez,carolina dávila ramírez
Castillo Reyes Verónica,castillo reyes verónica
Cecilia Gonzalez Gómez,cecilia gonzalez gómez
Cecilia Lopez Sánchez,cecilia lopez sánchez
Cecilia Sampedro Minor ,cecilia sampedro minor 
Celestino Abrego Escalante,celestino abrego escalante
César Arnulfo Cravioto Romero,césar arnulfo cravioto romero
Cesar Augusto Deras Almodova,cesar augusto deras almodova
César Augusto Pacheco Hernández,césar augusto pacheco hernández
Cesar Augusto Rojas Rabelo,cesar augusto rojas rabelo
Cesar Daniel González Madruga,cesar daniel gonzález madruga
Cesar Fredy Cuatecontzi Cuahutle,cesar fredy cuatecontzi cuahutle
César Fredy Montoya Sánchez,césar fredy montoya sánchez
César Gustavo Jáuregui Moreno,césar gustavo jáuregui moreno
CESAR IVÁN IBAÑEZ VALADEZ,cesar iván ibañez valadez
César Landin Pineda,césar landin pineda
César Reynaldo Navarro de Alba,césar reynaldo navarro de alba
Charles Méndez Sánchez,charles méndez sánchez
Chlunti Hernández Juan René,chlunti hernández juan rené
Christian Damian Von Roehrich de la Isla,christian damian von roehrich de la isla
Cinthya Amaranta Lobato Calderón,cinthya amaranta lobato calderón
Cipactli Dinorah Pizano Osorio,cipactli dinorah pizano osorio
Cipriano Charrez Pedraza,cipriano charrez pedraza
Cirilo Salas Hernández,cirilo salas hernández
Citlalic Guadalupe Portillo Hidalgo,citlalic guadalupe portillo hidalgo
Claudia Delgadillo Gonzalez,claudia delgadillo gonzalez
Claudia Guadalupe Cortes Quiroz,claudia guadalupe cortes quiroz
CLAUDIA GUADALUPE TRUJILLO RINCON,claudia guadalupe trujillo rincon
Claudia Liliana Valdez Aguilar,claudia liliana valdez aguilar
Claudia Lucía Carrillo Trevizo,claudia lucía carrillo trevizo
Cliserio del Real Hernández,cliserio del real hernández
Condado Escamilla Ana María,condado escamilla ana maría
Córdoba Hernández Gaspar,córdoba hernández gaspar
Córdova Leyva Mario,córdova leyva mario
Corona Salazar Álvarez,corona salazar álvarez
Crecenciano Espericueta Rodríguez,crecenciano espericueta rodríguez
Crescencio Reyes Torres,crescencio reyes torres
Crispin Guerra Cárdenas,crispin guerra cárdenas
Cristino Evencio Romero Sotelo,cristino evencio romero sotelo
Cruz Elvira Juan,cruz elvira juan
Cruz Juvenal Roa Sánchez,cruz juvenal roa sánchez
Crystal Tovar Aragón,crystal tovar aragón
Cuauhtémoc Calderón Galván,cuauhtémoc calderón galván
Cuauhtémoc Escobedo Tejada,cuauhtémoc escobedo tejada
Cuauhtémoc Salgado Romero,cuauhtémoc salgado romero
Cupertino Alejo Domínguez,cupertino alejo domínguez
Custodio Castillo Yolanda,custodio castillo yolanda
Cynthia Iliana López Castro,cynthia iliana lópez castro
Daesy Alvorada Hinojosa Rosas,daesy alvorada hinojosa rosas
Dagdug Lutzow Esther Alicia,dagdug lutzow esther alicia
Daniel Andrade Zurutuza,daniel andrade zurutuza
Daniel Esteban González,daniel esteban gonzález
Daniel Murguía Lardizábal,daniel murguía lardizábal
Daniel Ordoñez Hernández,daniel ordoñez hernández
Daniela Guadalupe Griego Ceballos,daniela guadalupe griego ceballos
Daniela Soraya Álvarez Hernández,daniela soraya álvarez hernández
Darío Carrasco Aguilar,darío carrasco aguilar
David Alejandro Landeros,david alejandro landeros
David Gama Pérez,david gama pérez
